date,product_id,product_name,category,quantity,unit_price,amount,region,sales_channel
2026-05-05,P002,无线鼠标,电子产品,2,199.00,398.00,西安,线下
2026-03-22,P005,耳机,电子产品,10,299.00,2990.00,武汉,线下
2026-03-13,P004,显示器,电子产品,9,1999.00,17991.00,北京,线下
2026-03-30,P001,笔记本电脑,电子产品,6,5999.00,35994.00,广州,线下
2026-03-25,P006,充电宝,配件,7,99.00,693.00,广州,线上
2026-05-30,P005,耳机,电子产品,8,299.00,2392.00,广州,线下
2026-04-27,P002,无线鼠标,电子产品,7,199.00,1393.00,深圳,线下
2026-06-04,P007,数据线,配件,5,29.00,145.00,广州,线上
2026-04-04,P008,电脑包,配件,1,159.00,159.00,上海,线上
2026-05-31,P006,充电宝,配件,8,99.00,792.00,西安,线上
2026-03-15,P008,电脑包,配件,7,159.00,1113.00,深圳,线下
2026-04-03,P001,笔记本电脑,电子产品,7,5999.00,41993.00,武汉,线上
2026-06-03,P005,耳机,电子产品,8,299.00,2392.00,成都,线上
2026-04-23,P008,电脑包,配件,1,159.00,159.00,广州,线上
2026-04-24,P002,无线鼠标,电子产品,5,199.00,995.00,深圳,线下
2026-03-25,P010,USB转接器,配件,7,79.00,553.00,深圳,线上
2026-04-01,P003,机械键盘,电子产品,4,499.00,1996.00,上海,线下
2026-06-02,P001,笔记本电脑,电子产品,10,5999.00,59990.00,北京,线下
2026-05-03,P008,电脑包,配件,3,159.00,477.00,广州,线上
2026-03-18,P008,电脑包,配件,10,159.00,1590.00,广州,线下
2026-03-25,P010,USB转接器,配件,5,79.00,395.00,上海,线下
2026-04-12,P008,电脑包,配件,9,159.00,1431.00,上海,线下
2026-05-06,P008,电脑包,配件,8,159.00,1272.00,广州,线上
2026-03-18,P010,USB转接器,配件,5,79.00,395.00,上海,线上
2026-04-26,P002,无线鼠标,电子产品,5,199.00,995.00,上海,线下
2026-05-15,P004,显示器,电子产品,8,1999.00,15992.00,西安,线下
2026-05-21,P006,充电宝,配件,4,99.00,396.00,北京,线下
2026-05-03,P010,USB转接器,配件,10,79.00,790.00,北京,线上
2026-03-24,P001,笔记本电脑,电子产品,10,5999.00,59990.00,深圳,线上
2026-03-22,P006,充电宝,配件,4,99.00,396.00,武汉,线上
2026-05-14,P003,机械键盘,电子产品,9,499.00,4491.00,杭州,线上
2026-04-15,P009,屏幕清洁剂,配件,1,39.00,39.00,上海,线上
2026-04-26,P010,USB转接器,配件,8,79.00,632.00,上海,线上
2026-03-13,P002,无线鼠标,电子产品,4,199.00,796.00,武汉,线下
2026-04-24,P005,耳机,电子产品,4,299.00,1196.00,北京,线下
2026-05-11,P008,电脑包,配件,7,159.00,1113.00,上海,线上
2026-03-15,P004,显示器,电子产品,8,1999.00,15992.00,武汉,线下
2026-05-26,P004,显示器,电子产品,9,1999.00,17991.00,成都,线下
2026-05-12,P010,USB转接器,配件,9,79.00,711.00,广州,线下
2026-06-03,P009,屏幕清洁剂,配件,5,39.00,195.00,深圳,线上
2026-05-02,P005,耳机,电子产品,10,299.00,2990.00,武汉,线上
2026-06-03,P005,耳机,电子产品,1,299.00,299.00,西安,线上
2026-05-12,P007,数据线,配件,9,29.00,261.00,西安,线下
2026-06-02,P005,耳机,电子产品,9,299.00,2691.00,北京,线上
2026-03-15,P010,USB转接器,配件,10,79.00,790.00,广州,线下
2026-04-14,P002,无线鼠标,电子产品,8,199.00,1592.00,深圳,线下
2026-04-28,P008,电脑包,配件,7,159.00,1113.00,成都,线上
2026-03-08,P007,数据线,配件,7,29.00,203.00,杭州,线上
2026-05-16,P005,耳机,电子产品,10,299.00,2990.00,上海,线上
2026-03-09,P002,无线鼠标,电子产品,10,199.00,1990.00,广州,线上
2026-03-27,P010,USB转接器,配件,5,79.00,395.00,北京,线下
2026-04-09,P002,无线鼠标,电子产品,5,199.00,995.00,深圳,线下
2026-04-19,P006,充电宝,配件,10,99.00,990.00,成都,线上
